Nome,Gêneros,Ano de Lançamento,Estúdio,Diretor,Sinopse
Attack on Titan,"Ação, Drama, Fantasia",2013,Wit Studio,Tetsurou Araki,Humanidade luta contra titãs devoradores de homens em um mundo pós-apocalíptico'
Death Note,"Mistério, Sobrenatural, Thriller",2006,Madhouse,Tetsurou Araki,Um estudante encontra um caderno que mata qualquer pessoa cujo nome seja escrito nele.
Fullmetal Alchemist: Brotherhood,"Aventura, Fantasia, Ação",2009,Bones,Yasuhiro Irie,Dois irmãos alquimistas buscam a Pedra Filosofal para recuperar seus corpos.
Demon Slayer,"Ação, Sobrenatural, Drama",2019,ufotable,Haruo Sotozaki,Um jovem luta contra demônios para salvar sua irmã e vingar sua família.
One Piece,"Aventura, Fantasia, Comédia",1999,Toei Animation,Konosuke Uda,"Piratas em busca do maior tesouro do mundo, o One Piece."
My Hero Academia,"Ação, Superpoderes, Escolar",2016,Bones,Kenji Nagasaki,"Em um mundo de superpoderes, um garoto sem poderes sonha em ser herói."
Steins;Gate,"Ficção Científica, Thriller, Drama",2011,White Fox,Hiroshi Hamasaki,Um grupo de amigos descobre como enviar mensagens ao passado e enfrenta consequências perigosas.
Naruto,"Ação, Aventura, Shounen",2002,Pierrot,Hayato Date,Um jovem ninja busca reconhecimento e sonha em se tornar Hokage.
Cowboy Bebop,"Ação, Ficção Científica, Aventura",1998,Sunrise,Shinichirou Watanabe,Caçadores de recompensas viajam pelo espaço em busca de criminosos.
Your Lie in April,"Drama, Romance, Musical",2014,A-1 Pictures,Kyohei Ishiguro,Um pianista prodígio supera traumas com a ajuda de uma violinista vibrante.
Mob Psycho 100,"Ação, Comédia, Sobrenatural",2016,Bones,Yuzuru Tachikawa,Um jovem com poderes psíquicos tenta viver uma vida normal enquanto enfrenta ameaças sobrenaturais.
Black Lagoon,"ação, seinen",2006,Madhouse,Sunao Katabuchi,Um grupo de mercenários que lidam com situações perigosas em um mundo de crime.
Darker Than Black: Kuro No Keiyakusha,"ação, mistério, superpoder",2007,Bones,Tensai Okamura,Um mundo onde contratados com poderes especiais realizam missões.
Sangatsu no Lion,"Drama, Romance, Slice of Life",2016,Shaft,"Kenjiro Okada, Akiyuki Shinbo",A vida de um jovem jogador de shogi e suas interações.
Sword Art Online: Alicization,"Ação, Aventura, Fantasia, Jogos, Romance",2018,A-1 Pictures,Manabu Ono,Um novo mundo virtual onde os jogadores lutam pela sobrevivência.
Akagami No Shirayuki-hime,"Comédia, Drama, Fantasia, Romance, Shoujo",2015,Bones,Masahiro Ando,A história de uma médica herbal e seu príncipe.
Akatsuki no Yona,"Ação, Comédia, Fantasia, Romance, Shoujo",2014,Pierrot,Kazuhiro Yoneda,Uma princesa que se torna uma guerreira após um golpe de estado.
Clannad,"Comédia, Drama, Harém, Romance, Vida escolar",2007,Kyoto Animation,Tatsuya Ishihara,A vida de um estudante do ensino médio e suas relações.
Ano Hana,"Drama, Slice of Life, Supernatural",2011,A-1 Pictures,Tatsuyuki Nagai,Um grupo de amigos se reúne anos após a morte de uma amiga de infância.
Made in Abyss,"Aventura, Fantasia, Drama",2017,Kinema Citrus,Masayuki Kojima,Uma jovem e um robô exploram um abismo misterioso em busca da mãe dela.
Vinland Saga,"Ação, Aventura, Drama",2019,Wit Studio,Shinji Higuchi,Um jovem viking busca vingança contra o assassino de seu pai.
Re:Zero - Starting Life in Another World,"Ação, Fantasia, Isekai",2016,White Fox,Tappei Nagatsuki,Um jovem é transportado para outro mundo e descobre que pode voltar no tempo após morrer.
Fate/Zero,"Ação, Fantasia, Superpoderes",2011,Ufotable,Masashi Sogo,Uma batalha entre magos e seus servos em busca do Santo Graal.
Tokyo Ghoul,"Ação, Horror, Sobrenatural",2014,Studio Pierrot,Sui Ishida,Um estudante se torna meio ghoul após um acidente e luta para sobreviver em um mundo hostil.
Paranoia Agent,"Mistério, Thriller, Psicológico",2004,Madhouse,Satoshi Kon,Uma série de ataques misteriosos leva a uma investigação que revela segredos sombrios.
Monster,"Mistério, Thriller, Psicológico",2004,Madhouse,Naoki Urasawa,Um neurocirurgião se vê perseguido por um assassino que ele salvou anos atrás.
Hajime no Ippo,"Esporte, Ação, Drama",2000,Madhouse,Jun'ichi Suzuki,Um jovem tímido se torna um boxeador determinado a se tornar campeão.
Gintama,"Ação, Comédia, Sci-Fi",2006,Bones,Yoshiyuki Sorachi,"Em um Japão alternativo, um samurai luta contra alienígenas enquanto vive aventuras cômicas."
Kaguya-sama: Love Is War,"Comédia, Romance, Escolar",2019,A-1 Pictures,Mitsuhiro Sakamaki,"Dois estudantes de elite competem para fazer o outro confessar seu amor primeiro."
Neon Genesis Evangelion,"Mecha, Psicologia, Drama",1995,Gainax,Hideaki Anno,Adolescentes pilotam robôs gigantes para proteger a Terra de seres misteriosos.
Hunter x Hunter,"Ação, Aventura, Fantasia",2011,Madhouse,Yoshihiro Togashi,"Um jovem embarca em uma jornada para se tornar um Hunter e encontrar seu pai."
March Comes in Like a Lion,"Drama, Slice of Life, Esporte",2016,Shaft,Chica Umino,"A vida de um jovem jogador de shogi lidando com depressão e relacionamentos."
Baccano!,"Ação, Mistério, Sobrenatural",2007,Brain's Base,Brandon Sanderson,"Várias histórias interligadas envolvendo alquimia, imortalidade e crimes em trens."
Parasyte: The Maxim,"Ação, Horror, Sci-Fi",2014,Madhouse,Hitoshi Iwaaki,"Um estudante luta contra parasitas alienígenas que assumem o controle de humanos."
